match_id,team1,team2,winner,margin,ground,match_date
1,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022"
2,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022"
3,Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022"
4,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022"
5,Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022"
6,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022"
7,Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022"
8,West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022"
9,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022"
10,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022"
11,Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022"
12,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022"
13,Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022"
14,Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022"
15,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022"
16,India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022"
17,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022"
18,South Africa,Zimbabwe,no result,,Hobart,"Oct 24, 2022"
19,Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022"
20,England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022"
21,Afghanistan,New Zealand,abandoned,,Melbourne,"Oct 26, 2022"
22,Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022"
23,India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022"
24,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,"Oct 27, 2022"
25,Afghanistan,Ireland,abandoned,,Melbourne,"Oct 28, 2022"
26,Australia,England,abandoned,,Melbourne,"Oct 28, 2022"
27,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022"
28,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022"
29,Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022"
30,India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022"
31,Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022"
32,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022"
33,England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022"
34,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022"
35,Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022"
36,Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022"
37,Ireland,New Zealand,New Zealand,35 runs,Adelaide,"Nov 4, 2022"
38,Australia,Afghanistan,Australia,4 runs,Adelaide,"Nov 4, 2022"
39,England,Sri Lanka,England,4 wickets,Sydney,"Nov 5, 2022"
40,Netherlands,South Africa,Netherlands,13 runs,Adelaide,"Nov 6, 2022"
41,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,"Nov 6, 2022"
42,India,Zimbabwe,India,71 runs,Melbourne,"Nov 6, 2022"
43,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,"Nov 9, 2022"
44,England,India,England,10 wickets,Adelaide,"Nov 10, 2022"
45,England,Pakistan,England,5 wickets,Melbourne,"Nov 13, 2022"
