Team,Matches_Played,Matches_Won,Matches_Lost,Actual_Win_Rate,Predicted_Win_Rate,Actual_Avg_Margin,Predicted_Avg_Margin
Namibia,3,1,2,0.3333333333333333,0.33376744,0,0.0
Netherlands,8,4,4,0.5,0.5000052,0,0.0
Scotland,3,1,2,0.3333333333333333,0.33376744,0,0.0
Ireland,7,3,4,0.42857142857142855,0.42865008,0,0.0
Sri Lanka,8,4,4,0.5,0.5000052,0,0.0
West Indies,3,1,2,0.3333333333333333,0.33376744,0,0.0
Australia,4,3,1,0.75,0.74962854,0,0.0
Afghanistan,3,0,3,0.0,0.0030298166,0,0.0
India,6,4,2,0.6666666666666666,0.66632617,0,0.0
Bangladesh,5,2,3,0.4,0.40015507,0,0.0
England,6,5,1,0.8333333333333334,0.8312268,0,0.0
Pakistan,7,4,3,0.5714285714285714,0.57137454,0,0.0
New Zealand,5,3,2,0.6,0.5997709,0,0.0
U.A.E.,3,1,2,0.3333333333333333,0.33376744,0,0.0
Zimbabwe,7,3,4,0.42857142857142855,0.42865008,0,0.0
South Africa,4,2,2,0.5,0.5000052,0,0.0
