,matches_played,matches_won,matches_lost,win_rate,average_margin,total_margin
Namibia,3,1,2,0.334,0.0,0.0
Netherlands,8,4,4,0.5,0.0,0.0
Scotland,3,1,2,0.334,0.0,0.0
Ireland,7,3,4,0.429,0.0,0.0
Sri Lanka,8,4,4,0.5,0.0,0.0
West Indies,3,1,2,0.334,0.0,0.0
Australia,4,3,1,0.75,0.0,0.0
Afghanistan,3,0,3,0.003,0.0,0.0
India,6,4,2,0.666,0.0,0.0
Bangladesh,5,2,3,0.4,0.0,0.0
England,6,5,1,0.831,0.0,0.0
Pakistan,7,4,3,0.571,0.0,0.0
New Zealand,5,3,2,0.6,0.0,0.0
U.A.E.,3,1,2,0.334,0.0,0.0
Zimbabwe,7,3,4,0.429,0.0,0.0
South Africa,4,2,2,0.5,0.0,0.0
